type,url
substack,https://sashachapin.substack.com/p/what-im-looking-for-in-my-marriage
substack,https://aella.substack.com/p/how-relationships-change-over-time
substack,https://www.secondperson.dating/p/welcome-to-second-person
substack,https://aella.substack.com/p/ill-pay-you-100k-to-get-me-married
twitter,https://twitter.com/divya_venn/status/1924732876802703771
twitter,https://twitter.com/ellebeecher/status/1957853178432508167
twitter,https://twitter.com/patriciamou_/status/1815222600479731994
twitter,https://twitter.com/visakanv/status/999145328837255168
twitter,https://twitter.com/RichDecibels/status/1721122834787737772
twitter,https://twitter.com/christineist/status/1491682876697432069
twitter,https://twitter.com/sophfuji/status/1674458996957229059
twitter,https://twitter.com/_rajanagarwal/status/1760014477091799247
youtube,https://www.youtube.com/embed/MCVLh4tlDJE
youtube,https://www.youtube.com/embed/knKwJQITjfc
youtube,https://www.youtube.com/embed/j3nXYVlPrcY
paper,assets/images/papers/58.jpg
paper,assets/images/papers/57.jpg
paper,assets/images/papers/56.jpg
paper,assets/images/papers/55.jpg
paper,assets/images/papers/20.jpg
paper,assets/images/papers/14.jpg
paper,assets/images/papers/8.jpg
paper,assets/images/papers/2.jpg
paper,assets/images/papers/1.jpg
book,assets/images/books/dataclysm.jpg
book,assets/images/books/lovefortherightreasos.jpg
book,assets/images/books/marriagehistory.jpg
book,assets/images/books/artofgathering.jpg
