Index,Name,Title,Image URL,Social Media Link,Confirmed?,Outreach,Location,Notes,Track
0,Whitney Wolfe Herd,Tinder and Bumble Founder,https://i.insider.com/602d50a25843000018456a23?width=1136&format=jpeg,,1,Ann,LA,,Business & Tech
1,Sean Rad,Tinder Founder,https://www.thewrap.com/wp-content/uploads/2015/11/Sean-Rad-Tinder.jpg,,1,Ann,LA,,Business & Tech
2,Justin Mateen,Tinder Founder,,,,0,Ann,LA,,Business & Tech
3,Jonathan Badeen,Tinder Founder,,,,0,Ann,LA,,Business & Tech
4,Dr. John M. Gottman,The Gottman Institute,https://www.gottman.com/wp-content/uploads/2021/10/Drs-John-and-Julie-Gottman-1-1.jpg,,1,Ann,Seattle,,Science & Psychology
5,Amanda Bradford,"Founder & CEO, The League",https://media.theleaguemobile.com/press/amanda-bradford-the-league-ceo-founder-headshot.jpg,,1,Ann,SF,,Business & Tech
6,Joel Simkhai,Founder, Grindr,https://www.thefamouspeople.com/profiles/images/joel-simkhai-1.jpg,,1,Ann,LA,,Business & Tech
7,Christian Rudder,"Co-Founder, OkCupid",https://media.npr.org/assets/img/2014/09/01/christian-rudder_sq-e27600739989911c7593c613040e1434c4491986.jpg,,1,Ann,NY,,Business & Tech
8,Alain de Botton,"Founder, The School of Life",https://www.theschooloflife.com/wp-content/uploads/2019/07/Alain-de-Botton-2.jpg,,1,Ann,London,,Philosophy & Art
9,Sam Yagan,"Co-Founder, OkCupid",https://images.wsj.net/im-344498?width=1280&size=1,,1,Ann,Chicago,,Business & Tech
10,Ana Kirova,CEO, Feeld,https://images.prismic.io/feeld/16010411-d007-4251-a9f8-79532455c179_Ana+Kirova_Feeld+CEO_Portrait.jpg?auto=compress,format,,1,Ann,London,,Business & Tech
11,The Kang Sisters,"Founders, Coffee Meets Bagel",https://fortune.com/img-assets/wp-content/uploads/2015/05/467843652.jpg,,1,Ann,SF,,Business & Tech
12,Alex Tew,"Co-Founder, Calm",https://www.incimages.com/uploaded_files/image/1920x1080/Alex-Tew-panoramic_35832.jpg,,1,Ann,SF,,Wellness
13,Roni Frank,"Co-Founder, Talkspace",https://images.squarespace-cdn.com/content/v1/5c2e2c6a5cfd796273b37a53/1546554832599-YQ520N2711M9ECB41K70/Roni+Frank+Headshot.jpg,,1,Ann,NY,,Wellness
14,Spencer Greenberg,"Founder, ClearerThinking.org",https://images.squarespace-cdn.com/content/v1/53edc431e4b09f7a0b72398c/1603837424003-9Y1CA8AHXV10Y1B976C0/Spencer+Greenberg+headshot.jpg,,1,Ann,NY,,Science & Psychology
15,Henrik Karlsson,Author & Researcher,https://www.henrikkarlsson.xyz/static/henrik.a5f8a29a.jpg,,1,Ann,Online,,Philosophy & Art
16,David Stillwell,myPersonality Project,https://www.jbs.cam.ac.uk/wp-content/uploads/2020/08/david-stillwell-2017-400x400.jpg,,1,Ann,Cambridge,,Science & Psychology
